,ldr_grau,distance,ldr_weiss,ldr_blau,ldr_gelb,ldr_lila,ldr_gruen,rotation_time,time,date
50712,511.0,33.0,511.0,511.0,366.0,485.0,511.0,678368208.0,13:37:11,2021-06-30
50713,511.0,33.0,511.0,511.0,376.0,495.0,511.0,678368208.0,13:37:12,2021-06-30
50714,511.0,33.0,511.0,511.0,358.0,490.0,511.0,678368208.0,13:37:13,2021-06-30
50715,511.0,33.0,511.0,511.0,367.0,492.0,511.0,678368208.0,13:37:14,2021-06-30
50716,511.0,33.0,511.0,511.0,380.0,499.0,511.0,678368208.0,13:37:15,2021-06-30
50717,511.0,33.0,511.0,511.0,359.0,499.0,511.0,678368208.0,13:37:16,2021-06-30
50718,511.0,33.0,511.0,511.0,359.0,474.0,511.0,678368208.0,13:37:17,2021-06-30
50719,511.0,33.0,511.0,511.0,377.0,505.0,511.0,678368208.0,13:37:18,2021-06-30
50720,511.0,33.0,511.0,511.0,378.0,490.0,511.0,678368208.0,13:37:19,2021-06-30
50721,511.0,33.0,511.0,511.0,381.0,479.0,511.0,678368208.0,13:37:20,2021-06-30
50722,511.0,33.0,511.0,511.0,385.0,491.0,511.0,678368208.0,13:37:21,2021-06-30
50723,511.0,33.0,511.0,511.0,359.0,505.0,511.0,678368208.0,13:37:22,2021-06-30
50724,511.0,33.0,511.0,511.0,369.0,499.0,511.0,678368208.0,13:37:23,2021-06-30
50725,511.0,33.0,511.0,511.0,362.0,486.0,511.0,678368208.0,13:37:24,2021-06-30
50726,511.0,33.0,511.0,511.0,360.0,494.0,511.0,678368208.0,13:37:25,2021-06-30
50727,511.0,33.0,511.0,511.0,359.0,509.0,511.0,678368208.0,13:37:26,2021-06-30
50728,511.0,33.0,511.0,511.0,380.0,490.0,511.0,678368208.0,13:37:27,2021-06-30
50729,511.0,33.0,511.0,511.0,378.0,480.0,511.0,678368208.0,13:37:28,2021-06-30
25766,511.0,33.0,511.0,511.0,369.0,498.0,511.0,678368208.0,13:37:29,2021-06-30
25767,511.0,33.0,511.0,511.0,367.0,481.0,511.0,678368208.0,13:37:30,2021-06-30
25768,511.0,33.0,511.0,511.0,380.0,496.0,511.0,678368208.0,13:37:31,2021-06-30
25769,511.0,33.0,511.0,511.0,370.0,491.0,511.0,678368208.0,13:37:32,2021-06-30
25770,511.0,33.0,511.0,511.0,368.0,498.0,511.0,678368208.0,13:37:33,2021-06-30
25771,511.0,33.0,511.0,511.0,369.0,502.0,511.0,678368208.0,13:37:34,2021-06-30
25772,511.0,33.0,511.0,511.0,366.0,485.0,511.0,678368208.0,13:37:35,2021-06-30
25773,511.0,33.0,511.0,511.0,379.0,510.0,511.0,678368208.0,13:37:36,2021-06-30
25774,511.0,33.0,511.0,511.0,380.0,496.0,511.0,678368208.0,13:37:37,2021-06-30
25775,511.0,33.0,511.0,511.0,366.0,501.0,511.0,678368208.0,13:37:38,2021-06-30
25776,511.0,33.0,511.0,511.0,364.0,486.0,511.0,678368208.0,13:37:39,2021-06-30
25777,511.0,33.0,511.0,511.0,375.0,496.0,511.0,678368208.0,13:37:40,2021-06-30
25778,511.0,33.0,511.0,511.0,376.0,497.0,511.0,678368208.0,13:37:41,2021-06-30
25779,511.0,33.0,511.0,511.0,367.0,511.0,511.0,678368208.0,13:37:42,2021-06-30
25780,511.0,33.0,511.0,511.0,372.0,491.0,511.0,678368208.0,13:37:43,2021-06-30
25781,511.0,33.0,511.0,511.0,382.0,493.0,511.0,678368208.0,13:37:44,2021-06-30
25782,511.0,33.0,511.0,511.0,376.0,505.0,511.0,678368208.0,13:37:45,2021-06-30
25783,511.0,33.0,511.0,511.0,362.0,496.0,511.0,678368208.0,13:37:46,2021-06-30
25784,511.0,33.0,511.0,511.0,382.0,498.0,511.0,678368208.0,13:37:47,2021-06-30
25785,511.0,33.0,511.0,511.0,368.0,487.0,511.0,678368208.0,13:37:48,2021-06-30
25786,511.0,33.0,511.0,511.0,379.0,489.0,511.0,678368208.0,13:37:49,2021-06-30
25787,511.0,33.0,511.0,511.0,355.0,480.0,511.0,678368208.0,13:37:50,2021-06-30
25788,511.0,33.0,511.0,511.0,366.0,493.0,511.0,678368208.0,13:37:51,2021-06-30
25789,511.0,33.0,511.0,511.0,371.0,497.0,511.0,678368208.0,13:37:52,2021-06-30
25790,511.0,33.0,511.0,511.0,360.0,494.0,511.0,678368208.0,13:37:53,2021-06-30
25791,511.0,33.0,511.0,511.0,372.0,483.0,511.0,678368208.0,13:37:54,2021-06-30
25792,511.0,33.0,511.0,511.0,379.0,494.0,511.0,678368208.0,13:37:55,2021-06-30
25793,511.0,33.0,511.0,511.0,385.0,486.0,511.0,678368208.0,13:37:56,2021-06-30
25794,511.0,33.0,511.0,511.0,366.0,489.0,511.0,678368277.0,13:37:57,2021-06-30
25795,511.0,33.0,511.0,511.0,381.0,490.0,511.0,678368277.0,13:37:58,2021-06-30
37580,511.0,33.0,511.0,511.0,382.0,499.0,511.0,678368277.0,13:37:59,2021-06-30
37581,511.0,33.0,511.0,511.0,372.0,504.0,511.0,678368277.0,13:38:00,2021-06-30
37582,511.0,33.0,511.0,511.0,390.0,498.0,511.0,678368277.0,13:38:01,2021-06-30
37583,511.0,33.0,511.0,511.0,382.0,495.0,511.0,678368277.0,13:38:02,2021-06-30
37584,511.0,33.0,511.0,511.0,383.0,492.0,511.0,678368277.0,13:38:03,2021-06-30
37585,511.0,33.0,511.0,511.0,369.0,506.0,511.0,678368277.0,13:38:04,2021-06-30
37586,511.0,33.0,511.0,511.0,382.0,499.0,511.0,678368277.0,13:38:05,2021-06-30
37587,511.0,33.0,511.0,511.0,375.0,494.0,511.0,678368277.0,13:38:06,2021-06-30
37588,511.0,33.0,511.0,511.0,376.0,499.0,511.0,678368277.0,13:38:07,2021-06-30
37589,511.0,33.0,511.0,511.0,381.0,492.0,511.0,678368277.0,13:38:08,2021-06-30
37590,511.0,33.0,511.0,511.0,380.0,511.0,511.0,678368277.0,13:38:09,2021-06-30
37591,511.0,33.0,511.0,511.0,383.0,511.0,511.0,678368277.0,13:38:10,2021-06-30
37592,511.0,33.0,511.0,511.0,390.0,490.0,511.0,678368277.0,13:38:11,2021-06-30
37593,511.0,33.0,511.0,511.0,375.0,502.0,511.0,678368277.0,13:38:12,2021-06-30
37594,511.0,33.0,511.0,511.0,374.0,490.0,511.0,678368277.0,13:38:13,2021-06-30
37595,511.0,33.0,511.0,511.0,359.0,510.0,511.0,678368277.0,13:38:14,2021-06-30
37596,511.0,33.0,511.0,511.0,386.0,497.0,511.0,678368277.0,13:38:15,2021-06-30
37597,511.0,33.0,511.0,511.0,374.0,495.0,511.0,678368277.0,13:38:16,2021-06-30
37598,511.0,33.0,511.0,511.0,378.0,472.0,511.0,678368277.0,13:38:17,2021-06-30
37599,511.0,33.0,511.0,511.0,372.0,499.0,511.0,678368277.0,13:38:18,2021-06-30
37600,511.0,33.0,511.0,511.0,364.0,478.0,511.0,678368277.0,13:38:19,2021-06-30
37601,511.0,33.0,511.0,511.0,377.0,496.0,511.0,678368300.0,13:38:20,2021-06-30
37602,511.0,33.0,511.0,511.0,388.0,495.0,511.0,678368300.0,13:38:21,2021-06-30
37603,511.0,33.0,511.0,511.0,366.0,486.0,511.0,678368300.0,13:38:22,2021-06-30
37604,511.0,33.0,511.0,511.0,380.0,473.0,511.0,678368300.0,13:38:23,2021-06-30
37605,511.0,33.0,511.0,511.0,362.0,491.0,511.0,678368300.0,13:38:24,2021-06-30
